,Location,Period,Dim1,First Tooltip,No
339,阿根廷,2006,Both sexes,8.53,AR
340,阿根廷,2006,Male,14.51,AR
341,阿根廷,2006,Female,3.26,AR
342,阿根廷,2005,Both sexes,8.54,AR
343,阿根廷,2005,Male,14.2,AR
344,阿根廷,2005,Female,3.52,AR
345,阿根廷,2004,Both sexes,8.68,AR
346,阿根廷,2004,Male,14.55,AR
347,阿根廷,2004,Female,3.5,AR
348,阿根廷,2003,Both sexes,9.66,AR
349,阿根廷,2003,Male,16.38,AR
350,阿根廷,2003,Female,3.76,AR
351,阿根廷,2002,Both sexes,10.28,AR
352,阿根廷,2002,Male,17.19,AR
353,阿根廷,2002,Female,4.18,AR
354,阿根廷,2001,Both sexes,10.31,AR
355,阿根廷,2001,Male,17.59,AR
356,阿根廷,2001,Female,4.0,AR
357,阿根廷,2000,Both sexes,9.2,AR
358,阿根廷,2000,Male,15.96,AR
359,阿根廷,2000,Female,3.38,AR
360,亚美尼亚,2019,Both sexes,2.66,AM
361,亚美尼亚,2019,Male,4.92,AM
362,亚美尼亚,2019,Female,1.02,AM
363,亚美尼亚,2018,Both sexes,1.65,AM
364,亚美尼亚,2018,Male,2.92,AM
365,亚美尼亚,2018,Female,0.7,AM
366,亚美尼亚,2017,Both sexes,2.43,AM
367,亚美尼亚,2017,Male,4.68,AM
368,亚美尼亚,2017,Female,0.9,AM
369,亚美尼亚,2016,Both sexes,4.43,AM
370,亚美尼亚,2016,Male,8.06,AM
371,亚美尼亚,2016,Female,1.67,AM
372,亚美尼亚,2015,Both sexes,4.7,AM
373,亚美尼亚,2015,Male,7.57,AM
374,亚美尼亚,2015,Female,2.56,AM
375,亚美尼亚,2014,Both sexes,4.63,AM
376,亚美尼亚,2014,Male,6.84,AM
377,亚美尼亚,2014,Female,2.9,AM
378,亚美尼亚,2013,Both sexes,5.31,AM
379,亚美尼亚,2013,Male,7.15,AM
380,亚美尼亚,2013,Female,3.72,AM
381,亚美尼亚,2012,Both sexes,6.39,AM
382,亚美尼亚,2012,Male,10.33,AM
383,亚美尼亚,2012,Female,3.19,AM
384,亚美尼亚,2011,Both sexes,5.74,AM
385,亚美尼亚,2011,Male,8.96,AM
386,亚美尼亚,2011,Female,3.0,AM
387,亚美尼亚,2010,Both sexes,5.86,AM
388,亚美尼亚,2010,Male,9.92,AM
389,亚美尼亚,2010,Female,2.89,AM
390,亚美尼亚,2009,Both sexes,4.06,AM
391,亚美尼亚,2009,Male,7.79,AM
392,亚美尼亚,2009,Female,1.41,AM
393,亚美尼亚,2008,Both sexes,4.23,AM
394,亚美尼亚,2008,Male,6.8,AM
395,亚美尼亚,2008,Female,2.27,AM
396,亚美尼亚,2007,Both sexes,5.02,AM
397,亚美尼亚,2007,Male,8.28,AM
398,亚美尼亚,2007,Female,2.41,AM
399,亚美尼亚,2006,Both sexes,5.36,AM
400,亚美尼亚,2006,Male,8.71,AM
401,亚美尼亚,2006,Female,2.93,AM
402,亚美尼亚,2005,Both sexes,3.81,AM
403,亚美尼亚,2005,Male,6.4,AM
404,亚美尼亚,2005,Female,1.82,AM
405,亚美尼亚,2004,Both sexes,3.64,AM
406,亚美尼亚,2004,Male,6.06,AM
407,亚美尼亚,2004,Female,1.8,AM
408,亚美尼亚,2003,Both sexes,2.49,AM
409,亚美尼亚,2003,Male,4.29,AM
410,亚美尼亚,2003,Female,1.01,AM
411,亚美尼亚,2002,Both sexes,3.1,AM
412,亚美尼亚,2002,Male,5.74,AM
413,亚美尼亚,2002,Female,1.12,AM
414,亚美尼亚,2001,Both sexes,3.07,AM
415,亚美尼亚,2001,Male,5.28,AM
416,亚美尼亚,2001,Female,1.29,AM
417,亚美尼亚,2000,Both sexes,3.28,AM
418,亚美尼亚,2000,Male,5.49,AM
419,亚美尼亚,2000,Female,1.73,AM
420,澳大利亚,2019,Both sexes,11.25,AU
421,澳大利亚,2019,Male,16.97,AU
422,澳大利亚,2019,Female,5.58,AU
423,澳大利亚,2018,Both sexes,11.26,AU
424,澳大利亚,2018,Male,17.14,AU
425,澳大利亚,2018,Female,5.42,AU
426,澳大利亚,2017,Both sexes,11.79,AU
427,澳大利亚,2017,Male,17.71,AU
428,澳大利亚,2017,Female,5.92,AU
